mileage,make,model,fuel,gear,offerType,price,hp,year
0,SEAT,Altea,,Automatic,Used,7999,160,2011
245,Audi,A4,,Automatic,Used,,143,2011
124500,Mercedes-Benz,A 180,,Automatic,Used,80,116,2011
147,Volkswagen,Passat,,Manual,Used,8200,122,2011
2842,Audi,A4,,Manual,Used,8500,143,2012
0,Hyundai,i40,,Automatic,Used,8590,136,2012
77600,Opel,Astra,,Manual,Used,8600,140,2012
205764,Volkswagen,Tiguan,,Automatic,Used,8600,140,2012
50,Dacia,Duster,,Manual,Used,8600,5,2012
89679,Toyota,Auris,Electric/,Automatic,Used,8690,99,2012
63,Volvo,S40,,Manual,Used,8800,145,2012
53400,Citroen,C4,,Automatic,Used,8850,156,2012
99769,Opel,Antara,,Manual,Used,8880,163,2012
57300,Volkswagen,Golf Plus,,Automatic,Used,8900,5,2012
220885,Mercedes-Benz,C 220,,Automatic,Used,8950,170,2012
77500,Ford,C-Max,,Manual,Used,8950,125,2012
340,Mercedes-Benz,E 300,,Automatic,Used,8950,231,2012
53500,Ford,B-Max,,Manual,Used,8979,90,2012
34900,Ford,B-Max,,Manual,Used,,90,2012
123559,Volkswagen,Polo,,Automatic,Used,,179,2012
92272,Hyundai,iX35,,Manual,Used,,135,2012
123814,Volkswagen,Passat,,Manual,Used,,5,2012
123814,Volkswagen,Passat Variant,,Manual,Used,,5,2012
42,Opel,Meriva,,Manual,Used,,140,2012
79988,Nissan,Qashqai,,Manual,Used,9488,117,2013
83465,Ford,B-Max,,Manual,Used,,125,2013
84367,Kia,Ceed / cee'd,,Automatic,Used,9590,135,2013
116700,Opel,Astra,,Automatic,Used,9643,140,2013
127500,Skoda,Superb,,Manual,Used,,125,2013
5,Volkswagen,Tiguan,,Manual,Used,,122,2013
0,Chevrolet,Cruze,,Manual,Used,9700,140,2013
1700,MINI,Cooper D,,Automatic,Used,9700,111,2013
,Opel,Zafira Tourer,,Automatic,Used,9700,165,2013
11,Volkswagen,Golf,,Manual,Used,9780,5,2013
1383,Skoda,Yeti,,Manual,Used,,140,2013
117,Nissan,Qashqai,,Manual,Used,9850,117,2013
88523,Opel,Zafira,,Manual,Used,9890,125,2013
700,Volkswagen,Golf Plus,,Automatic,Used,,5,2013
77500,Volkswagen,Golf,,Automatic,Used,,5,2013
1,Volkswagen,Golf,,Manual,Used,,150,2013
8,Volkswagen,Golf Plus,,Automatic,Used,,140,2013
149711,Nissan,Qashqai,,Manual,Used,9945,117,2013
900,Audi,A3,,Manual,Used,,5,2013
99948,Ford,Focus,,Manual,Used,,125,2013
2300,Volkswagen,Crafter,,Manual,Used,,9,2014
54140,Renault,Captur,,Manual,Used,,90,2014
7826,Volkswagen,Golf,,Manual,Used,,5,2014
680,Volkswagen,Golf,,Manual,Used,,86,2014
164750,Volkswagen,Passat Variant,,Manual,Used,,140,2014
157599,Ford,Focus,,Manual,Used,,116,2014
48629,Opel,Astra,,Manual,Used,,140,2014
120,Volkswagen,Scirocco,,Manual,Used,9995,125,2014
137400,Volkswagen,Touran,,Manual,Used,9999,5,2014
153500,Mitsubishi,ASX,,,Used,,150,2014
137125,Volkswagen,Touran,,Manual,Used,290,140,2014
,SEAT,Leon,,Manual,Used,,150,2014
70,Ford,Focus,,Manual,Used,,150,2014
1148,Opel,Adam,,Manual,Used,445,1,2014
,SEAT,Leon,,Manual,Used,450,122,2014
122,Opel,Zafira Tourer,,Manual,Used,,140,2014
8854,BMW,116,,Manual,Used,,136,2014
119969,Volvo,V40,,Manual,Used,,120,2014
66842,Volkswagen,Polo,,Manual,Used,,1,2014
,Audi,A1,,Manual,Used,500,90,2014
91486,Renault,Scenic,,Automatic,Used,9290,1,2015
24500,Hyundai,i,,Automatic,Used,,87,2015
62500,SEAT,Leon,,Manual,Used,,86,2015
137533,Opel,Zafira,,Manual,Used,9390,131,2015
,Hyundai,iX20,,Manual,Used,9450,90,2015
7,Ford,C-Max,,Automatic,Used,9450,163,2015
96896,Opel,Combo,,Manual,Used,9480,5,2015
127726,Opel,Zafira Tourer,,Manual,Used,9480,170,2015
96896,Opel,Combo,,Manual,Used,9480,5,2015
216145,Hyundai,iX35,,Automatic,Used,,166,2015
216145,Hyundai,iX35,,Automatic,Used,,166,2015
55257,Toyota,Auris,,Manual,Used,,99,2015
179999,Opel,Mokka,,Automatic,Used,9495,136,2015
116889,Volkswagen,Golf,,Manual,Used,9580,1,2015
188864,BMW,220,,Automatic,Used,,190,2015
149433,Opel,Insignia,,Manual,Used,,140,2015
119395,Opel,Insignia,,Manual,Used,,170,2015
61927,Opel,Astra,,Manual,Used,9750,170,2015
65518,Opel,Corsa,,Semi-automatic,Used,9780,95,2015
65518,Opel,Corsa,,Semi-automatic,Used,9780,95,2015
68600,Fiat,500C,,Manual,Used,8650,69,2016
82360,Ford,Grand C-Max,,Manual,Used,8680,120,2016
169433,Opel,Astra,,Manual,Used,8680,160,2016
118740,Renault,Megane,,Manual,Used,8680,131,2016
133685,Citroen,Grand C4 Picasso,,Manual,Used,8680,120,2016
181888,Skoda,Octavia,,Automatic,Used,8700,150,2016
5521,Ford,B-Max,,Manual,Used,8750,95,2016
176873,Opel,Zafira Tourer,,Automatic,Used,8780,131,2016
167561,Opel,Mokka,,Manual,Used,8780,136,2016
86600,Opel,Corsa,,Manual,Used,8780,69,2016
822,Opel,Adam,,Manual,Used,8790,87,2016
83692,,Partner,,Manual,Used,8799,75,2016
49,SEAT,Ibiza,,Manual,Used,8800,75,2016
213,Kia,Carens,,Automatic,Used,8800,141,2016
20,,iOn,Electric,Automatic,Used,8815,67,2016
99289,Citroen,C3,,Manual,Used,8880,99,2016
224587,Ford,Mondeo,,Manual,Used,8890,150,2016
192,Ford,Mondeo,,Manual,Used,8900,120,2016
16,Volkswagen,Caddy,,Manual,Used,8900,2,2016
84200,Fiat,Panda,,Manual,Used,6450,69,2017
25,Opel,Astra,,Manual,Used,6480,1,2017
4,Volkswagen,up!,,Manual,Used,6490,60,2017
46900,Skoda,Citigo,,Manual,Used,6490,60,2017
45200,Volkswagen,up!,,Manual,Used,6490,60,2017
24,Volkswagen,up!,,Manual,Used,6550,60,2017
45,smart,forTwo,,Manual,Used,6799,71,2017
37700,SEAT,Mii,,Manual,Used,6900,60,2017
44656,Mitsubishi,Space Star,,Manual,Used,6950,71,2017
5,Volkswagen,up!,,Manual,Used,,60,2017
186673,Opel,Astra,,Manual,Used,6980,136,2017
196849,Opel,Astra,,Manual,Used,6980,1,2017
196849,Opel,Astra,,Manual,Used,6980,1,2017
162274,Opel,Astra,,Manual,Used,6980,1,2017
162274,Opel,Astra,,Manual,Used,6980,1,2017
41600,Citroen,C1,,Manual,Used,6980,69,2017
204062,Opel,Combo,,Manual,Used,,95,2017
204062,Opel,Combo,,Manual,Used,,95,2017
222955,Opel,Astra,,Manual,Used,,136,2017
63,Skoda,Citigo,,Manual,Used,6999,60,2018
45896,SEAT,Mii,LPG,Manual,Used,7450,68,2018
150533,Opel,Astra,,Manual,Used,7480,1,2018
171423,Opel,Astra,,Manual,Used,7480,1,2018
31800,Volkswagen,up!,,Manual,Used,7550,60,2018
154544,Opel,Astra,,Manual,Used,7680,1,2018
77181,Opel,Corsa,,Manual,Used,7780,75,2018
29783,Renault,Twingo,,Manual,Used,7850,69,2018
214687,Opel,Astra,,Automatic,Used,7890,136,2018
26500,Kia,Picanto,,Manual,Used,7950,67,2018
139430,Opel,Astra,,Automatic,Used,7980,136,2018
186121,Opel,Astra,,Manual,Used,7980,1,2018
39177,Hyundai,i,,Manual,Used,,67,2018
79818,smart,forTwo,,Manual,Used,,71,2018
45,Volkswagen,up!,,Manual,Used,,60,2018
59303,Dacia,Logan,,Manual,Used,,73,2018
0,Ford,Fiesta,,Manual,Used,7999,86,2018
9078,Opel,Astra,,Manual,Used,8280,1,2018
189031,SEAT,Leon,,Manual,Used,8290,116,2018
25219,Skoda,Citigo,,Manual,Used,8350,60,2018
27250,,208,,Manual,Used,990,82,2019
4900,Opel,Corsa,,Manual,Used,990,90,2019
25419,Hyundai,i20,,Manual,Used,997,75,2019
26300,,208,,Manual,Used,11190,1,2019
,Fiat,500,,Manual,Used,11220,69,2019
27517,Ford,Fiesta,,Manual,Used,11280,86,2019
8453,Opel,Adam,,Manual,Used,11440,87,2019
34900,Opel,Corsa,,Manual,Used,11450,90,2019
33692,Dacia,Sandero,,Manual,Used,11450,90,2019
59889,Opel,Crossland X,,Manual,Used,11470,83,2019
85416,Opel,Astra,,Manual,Used,11490,1,2019
,Opel,Corsa,,Manual,Used,11490,90,2019
2,Ford,Fiesta,,Manual,Used,11500,71,2019
22445,Opel,Corsa,,Manual,Used,11680,90,2019
2,Citroen,C3,,Manual,Demonstration,11697,68,2019
20411,smart,forTwo,Electric,Automatic,Used,11749,82,2019
,Opel,Astra,,Manual,Used,11790,1,2019
13770,Ford,Ka/Ka+,,Manual,Used,11850,86,2019
13850,smart,forFour,,Manual,Used,11880,90,2019
,Skoda,Fabia,,Manual,Demonstration,11900,75,2019
5,Hyundai,i,,Automatic,Used,12590,67,2020
5500,Volkswagen,up!,,Manual,Demonstration,12680,60,2020
8450,Mitsubishi,Space Star,,Automatic,Used,12690,80,2020
11281,Opel,Corsa,,Manual,Used,,75,2020
15892,Opel,Corsa,,Manual,Used,,75,2020
20,Skoda,Fabia,,Manual,Pre-registered,12750,60,2020
,Fiat,500,,Manual,Pre-registered,12850,69,2020
3397,Mitsubishi,Space Star,,Automatic,Used,12890,80,2020
20,Dacia,Sandero,,Manual,Used,,1,2020
3155,Fiat,500,,Manual,Pre-registered,,69,2020
,Fiat,500,,Manual,Pre-registered,,69,2020
3,Fiat,500,,Manual,Pre-registered,,69,2020
,Fiat,500,,Manual,Pre-registered,,69,2020
1500,Citroen,C3,,Manual,Used,12950,82,2020
50200,Ford,Fiesta,,Manual,Employee's car,12950,86,2020
0,Ford,Fiesta,,Manual,Employee's car,12950,95,2020
7500,Renault,Clio,,Manual,Demonstration,12980,72,2020
15,Fiat,500,,Automatic,Pre-registered,,69,2020
2500,Mitsubishi,Space Star,,Automatic,Used,,80,2020
7368,Fiat,Panda,,Manual,Used,,69,2020
15,Skoda,Fabia,,Manual,Used,15985,95,2021
,Dacia,Logan,,Automatic,Used,1,91,2021
20,Renault,Express,,Manual,Pre-registered,1,1,2021
,Fiat,500C,Electric/,Manual,Pre-registered,1,69,2021
,Fiat,500C,Electric/,Manual,Pre-registered,1,69,2021
5,Toyota,Yaris,,Manual,Pre-registered,1,72,2021
,Renault,ZOE,Electric,Automatic,Used,1,9,2021
,Kia,Stonic,,Manual,Demonstration,1,84,2021
,Kia,Stonic,,Manual,Demonstration,1,84,2021
20,Fiat,500,,Automatic,Pre-registered,1,69,2021
,Kia,Rio,,Manual,Pre-registered,1,84,2021
,Kia,Rio,,Manual,Pre-registered,1,84,2021
,Kia,Rio,,Manual,Pre-registered,1,84,2021
,Skoda,Fabia,,Manual,Used,16250,95,2021
20,Skoda,Fabia,,Manual,Pre-registered,1,95,2021
50,Hyundai,i20,,Manual,Used,,84,2021
50,Hyundai,i20,,Manual,Used,,84,2021
8452,Volkswagen,Polo,,Manual,Demonstration,16450,80,2021
,Renault,Clio,,Manual,Used,16490,91,2021
,Renault,Clio,,Manual,Used,16490,91,2021
181443,SEAT,Altea,,Manual,Used,4299,5,2011
1,Volkswagen,Golf Plus,,Manual,Used,4299,86,2011
145,Opel,Meriva,,Manual,Used,4300,120,2011
194,Opel,Astra,,Manual,Used,4300,165,2011
45500,Citroen,C1,,Manual,Used,4300,68,2011
128450,Opel,Corsa,,Manual,Used,4325,95,2011
174900,Dacia,Logan,,Manual,Used,4350,84,2011
225,Audi,A3,,Manual,Used,4397,5,2011
113,Fiat,500,,Manual,Used,,69,2011
74,Renault,Clio,,Manual,Used,,75,2011
1978,smart,forTwo,,Automatic,Used,,61,2011
200,Opel,Insignia,,Manual,Used,,160,2011
148298,Skoda,Roomster,,Manual,Used,,86,2011
167,Ford,Mondeo,,Manual,Used,4450,116,2011
92,smart,forTwo,,Automatic,Used,4450,71,2011
94,Opel,Astra,,Manual,Used,4450,140,2011
137,Ford,Fiesta,,Manual,Used,4480,60,2011
18,Hyundai,i30,,Manual,Used,4490,90,2011
120790,Ford,Mondeo,,Manual,Used,4490,160,2011
9,Nissan,Micra,,Manual,Used,4490,98,2011
,Citroen,C4,,Manual,Used,4900,120,2012
147700,Ford,Fiesta,,Manual,Used,4950,95,2012
85730,Dacia,Sandero,,Manual,Used,,84,2012
134,Mitsubishi,Colt,,Automatic,Used,,95,2012
82,Opel,Corsa,,Manual,Used,,69,2012
131750,Volkswagen,Polo,,Manual,Used,,75,2012
145300,Ford,Fiesta,,Manual,Used,,69,2012
45296,Chevrolet,Spark,,Manual,Used,,68,2012
62,Volkswagen,up!,,Manual,Used,,60,2012
189,Opel,Zafira,,Manual,Used,,165,2012
189,Opel,Zafira Tourer,,Manual,Used,,165,2012
131128,Volkswagen,Polo,,Manual,Used,,69,2012
89675,Ford,Fiesta,,Manual,Used,,60,2012
14,Ford,Focus,,Manual,Used,,150,2012
93,,208,,Manual,Used,,95,2012
99250,Ford,Fiesta,,Manual,Used,4995,60,2012
90,Hyundai,i20,,Manual,Used,,86,2012
2,Volkswagen,Polo,,Manual,Used,,60,2012
218199,Volkswagen,Golf,,Manual,Used,,5,2012
140,Renault,Scenic,,Automatic,Used,,140,2012
,SEAT,Ibiza,,Manual,Used,,86,2013
62,Toyota,Aygo,,Manual,Used,,68,2013
97,Skoda,Roomster,,Manual,Used,,86,2013
133393,SEAT,Ibiza,,Manual,Used,5950,5,2013
73,,208,,Manual,Used,5950,95,2013
9200,Skoda,Roomster,,Manual,Used,5970,86,2013
1300,Renault,Clio,,Manual,Used,5980,90,2013
77,Fiat,500,,Manual,Used,,69,2013
,Opel,Astra,,Manual,Used,,1,2013
12,Opel,Meriva,,Manual,Used,,1,2013
61590,SEAT,Mii,,Manual,Used,,60,2013
53,Renault,Megane,,Manual,Used,,1,2013
40,Skoda,Citigo,,Manual,Used,,75,2013
133950,Renault,Scenic,,Manual,Used,,116,2013
1,Opel,Astra,,Manual,Used,,1,2013
94,Ford,Fiesta,,Manual,Used,,60,2013
77,Opel,Corsa,,Manual,Used,,87,2013
0,SEAT,Ibiza,,Manual,Used,5995,5,2013
400,Opel,Corsa,,Manual,Used,5999,69,2013
65,Ford,B-Max,,Manual,Used,5999,90,2013
200,Volkswagen,Golf,,Manual,Used,6200,5,2014
,Opel,Astra,,Manual,Used,6200,1,2014
,Skoda,Rapid/Spaceback,,Manual,Used,6200,86,2014
70200,Volkswagen,up!,,Manual,Used,6200,75,2014
56,Opel,Corsa,,Manual,Used,6200,86,2014
32900,Renault,ZOE,Electric,Automatic,Used,6250,58,2014
62,Fiat,500,,Manual,Used,6250,69,2014
0,Opel,Corsa,,Manual,Used,6280,87,2014
8150,Mitsubishi,Space Star,,Manual,Used,6295,71,2014
90,Fiat,Panda,,Manual,Used,,69,2014
44,Fiat,Panda,,Manual,Used,6390,69,2014
98700,Opel,Corsa,,Manual,Used,,1,2014
2,Ford,Transit Connect,,Manual,Used,,95,2014
9144,Renault,Megane,,Manual,Used,6450,1,2014
48651,Hyundai,i,,Manual,Used,6478,67,2014
94690,Nissan,Micra,,Manual,Used,6490,80,2014
70,Volkswagen,Polo,,Manual,Used,6490,60,2014
82500,Renault,Clio,,Manual,Used,6495,73,2014
2,Hyundai,iX20,,Manual,Used,6499,125,2014
115,Mazda,3,,Manual,Used,90,165,2014
126357,Volkswagen,Golf,,Manual,Used,9450,1,2014
115800,Ford,Focus,,Manual,Used,9480,150,2014
87950,Skoda,Rapid/Spaceback,,Manual,Used,,5,2014
89821,SsangYong,Korando,,Manual,Used,,150,2014
75384,Ford,C-Max,,Manual,Used,,125,2014
119819,Ford,Mondeo,,Manual,Used,9499,160,2014
89048,Volkswagen,Golf Variant,,Manual,Used,9499,1,2014
40775,Kia,Ceed / cee'd,,Manual,Used,,135,2014
43614,Suzuki,Swift,,Manual,Used,,136,2014
47,SEAT,Leon,,Automatic,Used,1,150,2015
63387,Hyundai,Tucson,,Manual,Used,16290,177,2015
115300,Renault,Twingo,,Manual,Used,,71,2016
66798,Opel,Adam,,Manual,Used,7490,69,2016
68027,Opel,Meriva,,Manual,Used,8650,120,2016
29354,Suzuki,Swift,,Manual,Used,8940,94,2016
19399,Volkswagen,Caddy,,Manual,Used,9960,75,2016
1270,Volkswagen,Golf,,Manual,Used,6500,86,2011
142,SEAT,Ibiza,,Automatic,Used,6500,179,2011
84,Volkswagen,Polo,,Manual,Used,6600,69,2011
2,Volkswagen,Touran,,Manual,Used,6699,5,2011
170500,Volkswagen,Touran,,Manual,Used,6699,5,2011
149,Citroen,C5,,Automatic,Used,6700,163,2011
167730,MINI,Cooper S,,Manual,Used,6750,184,2011
18350,Fiat,Fiorino,Electric,Manual,Used,6770,41,2011
0,Skoda,Octavia,,Manual,Used,,122,2011
1,Volkswagen,Golf Plus,,Manual,Used,,5,2011
6,Audi,A5,,Manual,Used,,179,2011
11,Skoda,Octavia,,Automatic,Used,,122,2011
,Volkswagen,Golf,,Manual,Used,6850,122,2011
930,Volkswagen,Golf Variant,,Manual,Used,6850,122,2011
77500,Skoda,Octavia,,Manual,Used,6850,80,2011
116200,Volkswagen,Polo,,Manual,Used,,60,2011
13,Volkswagen,Caddy,,Automatic,Used,6900,75,2011
221220,Volkswagen,Touran,,Manual,Used,6900,5,2011
90,Opel,Astra,,Manual,Used,6900,140,2011
56,Fiat,500C,,Manual,Used,6900,69,2011
113,Opel,Astra,,Manual,Used,5999,140,2011
271450,Subaru,Forester,,Automatic,Used,5999,150,2011
185,Fiat,Punto Evo,,Manual,Used,5999,135,2011
87,Hyundai,iX20,,Manual,Used,5999,90,2011
185,BMW,118,,Manual,Used,5999,143,2011
120,Opel,Astra,,Automatic,Used,5999,179,2011
89499,Hyundai,iX20,,Manual,Used,5999,125,2011
0,Citroen,C4,,Manual,Used,6,120,2011
132,Mazda,5,,Manual,Used,6,150,2011
130500,Renault,Scenic,,Manual,Used,6,131,2011
86,Renault,Megane,,Manual,Used,6,6,2011
00,Renault,Kangoo,,Manual,Used,6,86,2011
200,Opel,Insignia,,Manual,Used,6,131,2011
140224,Ford,Fiesta,,Manual,Used,6099,120,2011
92,Opel,Astra,,Manual,Used,60,1,2011
117,Opel,Astra,,Manual,Used,6150,120,2011
152467,Citroen,Jumpy,,Manual,Used,6190,120,2011
212,Volkswagen,Passat Variant,,Manual,Used,6199,5,2011
142600,Skoda,Fabia,,Manual,Used,6200,86,2011
63765,Volkswagen,Golf Plus,,Manual,Used,6250,86,2011
56200,Skoda,Roomster,,Manual,Used,4900,69,2011
34992,Citroen,C3,,Manual,Used,4900,60,2011
224203,Volkswagen,Golf,,Manual,Used,4900,80,2011
197,Volkswagen,Golf,,Automatic,Used,4950,140,2011
62886,Hyundai,i20,,Manual,Used,4950,77,2011
62886,Hyundai,i20,,Manual,Used,4950,77,2011
155690,Ford,C-Max,,Manual,Used,4957,150,2011
,Skoda,Fabia,,Manual,Used,4970,60,2011
140,Ford,Focus,,Manual,Used,4970,1,2011
157,Mazda,5,,Manual,Used,,116,2011
226843,Opel,Astra,,Manual,Used,,125,2011
52603,,207,,Manual,Used,,95,2011
24950,Ford,Ka/Ka+,,Manual,Used,,69,2011
65560,Nissan,Micra,,Manual,Used,,80,2011
17,Citroen,C4,,Manual,Used,,120,2011
65,,207,,Manual,Used,,73,2011
166291,Renault,Scenic,,Manual,Used,,131,2011
84687,Renault,Clio,,Manual,Used,,75,2011
,Opel,Corsa,,Manual,Used,,87,2011
1340,,207,,Manual,Used,,111,2011
189,Opel,Insignia,,Manual,Used,6950,160,2011
73020,Mazda,3,,Manual,Used,6950,5,2011
119515,Opel,Meriva,,Manual,Used,6950,120,2011
67325,Skoda,Octavia,,Manual,Used,6980,122,2011
145500,Volkswagen,Golf,,Manual,Used,,140,2011
71300,Volkswagen,Polo Cross,,Manual,Used,,5,2011
0,Renault,Clio,,Automatic,Used,,111,2011
77147,Suzuki,SX4,,Manual,Used,,135,2011
117,Nissan,Juke,,Manual,Used,,117,2011
34,Mitsubishi,Colt,,Automatic,Used,6998,95,2011
182,Alfa,Romeo Giulietta,,Manual,Used,7,170,2011
142,Audi,A1,,Manual,Used,7,86,2011
193,Ford,Transit,,Manual,Used,7,116,2011
156,Fiat,Freemont,,Manual,Used,7,140,2011
1,Fiat,Doblo,,Manual,Used,7,135,2011
1200,Volkswagen,Golf,,Manual,Used,70,122,2011
7,Honda,CR-Z,Electric/,Manual,Used,7150,114,2011
157165,Opel,Zafira,,Manual,Used,7190,131,2011
240,Volkswagen,Touran,,Automatic,Used,,140,2011
61200,Nissan,Qashqai,,,Used,,140,2011
98500,Volkswagen,Polo,,Manual,Used,6250,69,2011
124256,,508,,Manual,Used,6280,156,2011
163900,Nissan,Qashqai,,Manual,Used,6290,150,2011
148603,Citroen,Jumpy,,Manual,Used,6290,120,2011
148340,Audi,A1,,Manual,Used,,5,2011
1,Ford,Mondeo,,Manual,Used,6399,120,2011
7530,Citroen,Berlingo,,Manual,Used,,120,2011
134,BMW,116,,Manual,Used,,122,2011
37580,Opel,Astra,,Manual,Used,6450,87,2011
